"Node1" "Node2" "combined_score"
"1" "N1" "N2" "999"
"2" "N2" "N3" "999"
"3" "N2" "N4" "999"
"4" "N2" "N5" "999"
"5" "N1" "N6" "999"
"6" "N3" "N7" "999"
"7" "N4" "N8" "999"
"8" "N2" "N9" "999"
"9" "N1" "N10" "999"
"10" "N4" "N11" "999"
"11" "N4" "N12" "999"
"12" "N5" "N13" "999"
"13" "N10" "N14" "999"
"14" "N7" "N15" "999"
"15" "N15" "N16" "999"
"16" "N2" "N17" "999"
"17" "N9" "N18" "999"
"18" "N10" "N19" "999"
"19" "N3" "N20" "999"
"20" "N2" "N21" "999"
"21" "N9" "N22" "999"
"22" "N1" "N23" "999"
"23" "N4" "N24" "999"
"24" "N17" "N25" "999"
"25" "N14" "N26" "999"
"26" "N3" "N27" "999"
"27" "N8" "N28" "999"
"28" "N15" "N29" "999"
"29" "N14" "N30" "999"
